reward,prefix,hash,signature
393.2816222903352,dqnd,ced3c7,Gr9_Cr250_Sw4.0_Sv-10.0_Sf-20.0_Dr4_Oo-15.0_Ms20_Pb6_D0.85_M20000_m4000_B32_U20_T4
389.1707146682532,dqnp,f1a2c1,Gr7_Cr300_Sw4.0_Sv-15.0_Sf-10.0_Dr8_Oo-15.0_Ms20_Pb6_D0.8_M20000_m4000_B32_U20_T4
385.73496607282397,dqnd,b49532,Gr7_Cr300_Sw2.0_Sv-10.0_Sf-15.0_Dr4_Oo-10.0_Ms20_Pb6_D0.85_M20000_m4000_B32_U20_T4
341.80304786359665,dqnm,4b2732,Gr7_Cr250_Sw4.0_Sv-10.0_Sf-10.0_Dr4_Oo-10.0_Ms80_Pb6_D0.85_M20000_m4000_B32_U20_T4
322.05609828428925,dqnm,502805,Gr7_Cr250_Sw1.0_Sv-15.0_Sf-20.0_Dr4_Oo-15.0_Ms80_Pb6_D0.85_M20000_m4000_B32_U20_T4
320.2123292721081,dqnm,eb975d,Gr7_Cr250_Sw2.0_Sv-15.0_Sf-15.0_Dr8_Oo-20.0_Ms40_Pb6_D0.85_M20000_m4000_B32_U20_T4
313.43365699367183,dqnm,629401,Gr7_Cr300_Sw1.0_Sv-10.0_Sf-20.0_Dr16_Oo-15.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
302.56865612122425,dqnp,63fa54,Gr9_Cr200_Sw1.0_Sv-15.0_Sf-10.0_Dr8_Oo-15.0_Ms20_Pb6_D0.85_M20000_m4000_B32_U20_T4
300.3931738189818,dqnm,621be2,Gr9_Cr300_Sw2.0_Sv-20_Sf-10.0_Dr16_Oo-20.0_Ms40_Pb6_D0.9_M20000_m4000_B32_U20_T4
299.2601856294839,dqnm,22a4d7,Gr7_Cr200_Sw1.0_Sv-10.0_Sf-20.0_Dr8_Oo-10.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
293.31593347096805,dqnd,2cfbc2,Gr9_Cr200_Sw4.0_Sv-15.0_Sf-15.0_Dr8_Oo-10.0_Ms20_Pb6_D0.85_M20000_m4000_B32_U20_T4
253.69275831403317,dqnm,7392f3,Gr9_Cr300_Sw1.0_Sv-10.0_Sf-20.0_Dr4_Oo-20.0_Ms40_Pb6_D0.9_M20000_m4000_B32_U20_T4
239.32009019858762,dqnm,af129c,Gr7_Cr250_Sw1.0_Sv-20_Sf-10.0_Dr16_Oo-20.0_Ms40_Pb6_D0.85_M20000_m4000_B32_U20_T4
237.3408065381666,dqnm,6d3cdf,Gr9_Cr200_Sw4.0_Sv-15.0_Sf-15.0_Dr16_Oo-20.0_Ms40_Pb6_D0.85_M20000_m4000_B32_U20_T4
230.31010884523164,dqnm,f79bc2,Gr9_Cr300_Sw4.0_Sv-20_Sf-10.0_Dr16_Oo-15.0_Ms40_Pb6_D0.8_M20000_m4000_B32_U20_T4
207.02433267925915,dqnm,270f7c,Gr9_Cr300_Sw4.0_Sv-20_Sf-10.0_Dr8_Oo-15.0_Ms40_Pb6_D0.9_M20000_m4000_B32_U20_T4
205.2499964460346,dqnd,1de186,Gr7_Cr200_Sw2.0_Sv-15.0_Sf-10.0_Dr8_Oo-15.0_Ms20_Pb6_D0.8_M20000_m4000_B32_U20_T4
189.58833874351774,dqnd,ca5da5,Gr9_Cr300_Sw2.0_Sv-10.0_Sf-20.0_Dr16_Oo-10.0_Ms20_Pb6_D0.9_M20000_m4000_B32_U20_T4
186.67886053881125,dqnp,7151d9,Gr9_Cr200_Sw1.0_Sv-10.0_Sf-20.0_Dr8_Oo-15.0_Ms20_Pb6_D0.85_M20000_m4000_B32_U20_T4
184.42219531460023,dqnd,3daa95,Gr7_Cr250_Sw2.0_Sv-15.0_Sf-20.0_Dr16_Oo-10.0_Ms20_Pb6_D0.9_M20000_m4000_B32_U20_T4
182.69652318342852,dqnm,476f7d,Gr7_Cr250_Sw4.0_Sv-20_Sf-15.0_Dr4_Oo-15.0_Ms40_Pb6_D0.85_M20000_m4000_B32_U20_T4
179.845389274034,dqnd,e71b0b,Gr7_Cr250_Sw2.0_Sv-20_Sf-10.0_Dr4_Oo-15.0_Ms20_Pb6_D0.8_M20000_m4000_B32_U20_T4
169.11866205113782,dqnm,8ed6bd,Gr9_Cr200_Sw2.0_Sv-10.0_Sf-20.0_Dr16_Oo-10.0_Ms40_Pb6_D0.85_M20000_m4000_B32_U20_T4
161.77158431475576,dqnm,fc3840,Gr7_Cr200_Sw2.0_Sv-20_Sf-20.0_Dr8_Oo-15.0_Ms40_Pb6_D0.85_M20000_m4000_B32_U20_T4
145.24075911395934,dqnd,f010a2,Gr7_Cr300_Sw4.0_Sv-10.0_Sf-10.0_Dr16_Oo-10.0_Ms20_Pb6_D0.8_M20000_m4000_B32_U20_T4
138.41971338606325,dqnp,c61936,Gr7_Cr250_Sw2.0_Sv-20_Sf-15.0_Dr4_Oo-10.0_Ms20_Pb6_D0.85_M20000_m4000_B32_U20_T4
132.51567820918797,dqnd,e1f090,Gr9_Cr250_Sw1.0_Sv-15.0_Sf-20.0_Dr16_Oo-10.0_Ms20_Pb6_D0.9_M20000_m4000_B32_U20_T4
126.74078859423282,dqnm,400a1c,Gr7_Cr250_Sw1.0_Sv-10.0_Sf-10.0_Dr8_Oo-10.0_Ms20_Pb6_D0.8_M20000_m4000_B32_U20_T4
126.26173114432147,dqnm,584c67,Gr7_Cr300_Sw2.0_Sv-20_Sf-20.0_Dr4_Oo-10.0_Ms20_Pb6_D0.8_M20000_m4000_B32_U20_T4
115.52454000448172,dqnm,745eb0,Gr9_Cr250_Sw1.0_Sv-20_Sf-20.0_Dr4_Oo-10.0_Ms20_Pb6_D0.85_M20000_m4000_B32_U20_T4
106.90993869466756,dqnm,8903de,Gr7_Cr200_Sw1.0_Sv-20_Sf-20.0_Dr16_Oo-20.0_Ms20_Pb6_D0.85_M20000_m4000_B32_U20_T4
106.31714848690179,dqnm,443549,Gr7_Cr300_Sw2.0_Sv-15.0_Sf-20.0_Dr16_Oo-20.0_Ms20_Pb6_D0.85_M20000_m4000_B32_U20_T4
106.30733186599576,dqnm,eb3897,Gr9_Cr200_Sw2.0_Sv-15.0_Sf-15.0_Dr16_Oo-10.0_Ms80_Pb6_D0.85_M20000_m4000_B32_U20_T4
88.03119092405355,dqnm,e6454a,Gr9_Cr300_Sw1.0_Sv-15.0_Sf-20.0_Dr8_Oo-10.0_Ms20_Pb6_D0.9_M20000_m4000_B32_U20_T4
45.3052526784379,dqnm,6b3077,Gr9_Cr200_Sw4.0_Sv-10.0_Sf-10.0_Dr4_Oo-20.0_Ms20_Pb6_D0.85_M20000_m4000_B32_U20_T4
39.18131432806634,dqnm,37f346,Gr9_Cr300_Sw1.0_Sv-10.0_Sf-10.0_Dr16_Oo-10.0_Ms20_Pb6_D0.85_M20000_m4000_B32_U20_T4
